normalized_name,name,locality_type,countyfp,geoid,estimate_base_2020,estimate_2020,estimate_2021,estimate_2022,estimate_2023,estimate_2024,estimate_2025,change_base_to_2025,pct_change_base_to_2025,change_2020_to_2025,pct_change_2020_to_2025
ACCOMACK COUNTY,Accomack County,county,001,51001,33423,33400,33435,33221,33510,33747,33859,436,1.3,459,1.37
ALBEMARLE COUNTY,Albemarle County,county,003,51003,112435,112578,113988,114871,115664,117312,118356,5921,5.27,5778,5.13
ALEXANDRIA CITY,Alexandria city,city,510,51510,159470,159147,155116,154880,155798,159367,160662,1192,0.75,1515,0.95
ALLEGHANY COUNTY,Alleghany County,county,005,51005,15216,15187,15003,14757,14733,14674,14546,-670,-4.4,-641,-4.22
AMELIA COUNTY,Amelia County,county,007,51007,13262,13268,13313,13418,13583,13707,13632,370,2.79,364,2.74
AMHERST COUNTY,Amherst County,county,009,51009,31313,31312,31403,31525,31557,31653,31962,649,2.07,650,2.08
APPOMATTOX COUNTY,Appomattox County,county,011,51011,16116,16155,16406,16695,16846,17003,17172,1056,6.55,1017,6.3
ARLINGTON COUNTY,Arlington County,county,013,51013,238647,238825,233485,233476,234369,239687,243931,5284,2.21,5106,2.14
AUGUSTA COUNTY,Augusta County,county,015,51015,77490,77586,77804,77931,78325,78764,78940,1450,1.87,1354,1.75
BATH COUNTY,Bath County,county,017,51017,4205,4185,4093,4074,4062,4058,4076,-129,-3.07,-109,-2.6
BEDFORD COUNTY,Bedford County,county,019,51019,79496,79590,80311,80832,81765,82467,83059,3563,4.48,3469,4.36
BLAND COUNTY,Bland County,county,021,51021,6272,6255,6180,6151,6228,6186,6151,-121,-1.93,-104,-1.66
BOTETOURT COUNTY,Botetourt County,county,023,51023,33588,33636,34003,34088,34138,34057,34144,556,1.66,508,1.51
BRISTOL CITY,Bristol city,city,520,51520,17242,17321,17098,16906,16709,16454,16418,-824,-4.78,-903,-5.21
BRUNSWICK COUNTY,Brunswick County,county,025,51025,15849,15824,15965,15846,15786,15763,15727,-122,-0.77,-97,-0.61
BUCHANAN COUNTY,Buchanan County,county,027,51027,20343,20247,19883,19318,18981,18723,18492,-1851,-9.1,-1755,-8.67
BUCKINGHAM COUNTY,Buckingham County,county,029,51029,16828,16826,16953,16979,16985,17111,17137,309,1.84,311,1.85
BUENA VISTA CITY,Buena Vista city,city,530,51530,6633,6616,6617,6560,6578,6611,6672,39,0.59,56,0.85
CAMPBELL COUNTY,Campbell County,county,031,51031,55654,55598,55326,55034,55308,55563,55629,-25,-0.04,31,0.06
CAROLINE COUNTY,Caroline County,county,033,51033,30880,30922,31412,31973,32745,33586,34413,3533,11.44,3491,11.29
CARROLL COUNTY,Carroll County,county,035,51035,29154,29146,29105,29097,29197,29211,29299,145,0.5,153,0.52
CHARLES CITY COUNTY,Charles City County,county,036,51036,6772,6747,6614,6582,6652,6582,6623,-149,-2.2,-124,-1.84
CHARLOTTE COUNTY,Charlotte County,county,037,51037,11530,11538,11499,11422,11408,11323,11401,-129,-1.12,-137,-1.19
CHARLOTTESVILLE CITY,Charlottesville city,city,540,51540,46518,46433,45723,45104,44832,44609,44388,-2130,-4.58,-2045,-4.4
CHESAPEAKE CITY,Chesapeake city,city,550,51550,249251,249655,251846,252431,253782,254770,255332,6081,2.44,5677,2.27
CHESTERFIELD COUNTY,Chesterfield County,county,041,51041,364084,365330,371042,378739,385138,391243,397148,33064,9.08,31818,8.71
CLARKE COUNTY,Clarke County,county,043,51043,14789,14817,14947,15311,15399,15631,15609,820,5.54,792,5.35
COLONIAL HEIGHTS CITY,Colonial Heights city,city,570,51570,18145,18162,18199,18241,18409,18620,18738,593,3.27,576,3.17
COVINGTON CITY,Covington city,city,580,51580,5749,5747,5719,5671,5600,5688,5680,-69,-1.2,-67,-1.17
CRAIG COUNTY,Craig County,county,045,51045,4893,4876,4890,4855,4822,4822,4800,-93,-1.9,-76,-1.56
CULPEPER COUNTY,Culpeper County,county,047,51047,52548,52764,53778,54315,55263,56756,57666,5118,9.74,4902,9.29
CUMBERLAND COUNTY,Cumberland County,county,049,51049,9690,9680,9721,9758,9914,10203,10352,662,6.83,672,6.94
DANVILLE CITY,Danville city,city,590,51590,42581,42572,42280,42068,42060,41958,41647,-934,-2.19,-925,-2.17
DICKENSON COUNTY,Dickenson County,county,051,51051,14128,14075,13865,13711,13576,13388,13236,-892,-6.31,-839,-5.96
DINWIDDIE COUNTY,Dinwiddie County,county,053,51053,27934,27886,27999,28137,28476,28787,28896,962,3.44,1010,3.62
EMPORIA CITY,Emporia city,city,595,51595,5753,5697,5630,5524,5481,5410,5447,-306,-5.32,-250,-4.39
ESSEX COUNTY,Essex County,county,057,51057,10600,10597,10570,10635,10590,10677,10654,54,0.51,57,0.54
FAIRFAX CITY,Fairfax city,city,600,51600,24146,24174,24363,24657,25070,26038,26772,2626,10.88,2598,10.75
FAIRFAX COUNTY,Fairfax County,county,059,51059,1150294,1148598,1142546,1138853,1143456,1159806,1167873,17579,1.53,19275,1.68
FALLS CHURCH CITY,Falls Church city,city,610,51610,14657,14677,14517,14520,14808,15046,15159,502,3.42,482,3.28
FAUQUIER COUNTY,Fauquier County,county,061,51061,72971,73012,74079,74689,75256,75865,76503,3532,4.84,3491,4.78
FLOYD COUNTY,Floyd County,county,063,51063,15473,15469,15513,15616,15713,15713,15789,316,2.04,320,2.07
FLUVANNA COUNTY,Fluvanna County,county,065,51065,27248,27289,27803,28126,28493,28789,28975,1727,6.34,1686,6.18
FRANKLIN CITY,Franklin city,city,620,51620,8176,8147,8152,8251,8323,8404,8478,302,3.69,331,4.06
FRANKLIN COUNTY,Franklin County,county,067,51067,54457,54478,55037,55054,55475,55612,55526,1069,1.96,1048,1.92
FREDERICK COUNTY,Frederick County,county,069,51069,91445,91891,94000,94855,96248,98180,99955,8510,9.31,8064,8.78
FREDERICKSBURG CITY,Fredericksburg city,city,630,51630,27977,27997,28449,28708,29180,29985,30393,2416,8.64,2396,8.56
GALAX CITY,Galax city,city,640,51640,6725,6716,6656,6720,6777,6701,6670,-55,-0.82,-46,-0.68
GILES COUNTY,Giles County,county,071,51071,16792,16786,16578,16434,16523,16636,16564,-228,-1.36,-222,-1.32
GLOUCESTER COUNTY,Gloucester County,county,073,51073,38714,38723,39191,39554,40016,40067,40097,1383,3.57,1374,3.55
GOOCHLAND COUNTY,Goochland County,county,075,51075,24744,24866,25551,26212,27272,28263,29187,4443,17.96,4321,17.38
GRAYSON COUNTY,Grayson County,county,077,51077,15336,15282,15349,15320,15259,15333,15230,-106,-0.69,-52,-0.34
GREENE COUNTY,Greene County,county,079,51079,20548,20601,20998,21021,21355,21702,21958,1410,6.86,1357,6.59
GREENSVILLE COUNTY,Greensville County,county,081,51081,11394,11387,11423,11217,11175,11175,11181,-213,-1.87,-206,-1.81
HALIFAX COUNTY,Halifax County,county,083,51083,34035,33939,33798,33612,33470,33554,33447,-588,-1.73,-492,-1.45
HAMPTON CITY,Hampton city,city,650,51650,137160,137279,137771,137889,137043,137399,137315,155,0.11,36,0.03
HANOVER COUNTY,Hanover County,county,085,51085,109982,110211,111827,112955,114263,115553,116423,6441,5.86,6212,5.64
HARRISONBURG CITY,Harrisonburg city,city,660,51660,51808,51698,51451,51011,50976,50792,50839,-969,-1.87,-859,-1.66
HENRICO COUNTY,Henrico County,county,087,51087,334961,334929,334546,335033,336037,340024,342775,7814,2.33,7846,2.34
HENRY COUNTY,Henry County,county,089,51089,50939,50845,50275,49772,49709,49523,49242,-1697,-3.33,-1603,-3.15
HIGHLAND COUNTY,Highland County,county,091,51091,2234,2242,2242,2306,2344,2336,2318,84,3.76,76,3.39
HOPEWELL CITY,Hopewell city,city,670,51670,23031,23012,23081,22857,22911,23064,23261,230,1.0,249,1.08
ISLE OF WIGHT COUNTY,Isle of Wight County,county,093,51093,38612,38711,39405,40133,40627,40890,41321,2709,7.02,2610,6.74
JAMES CITY COUNTY,James City County,county,095,51095,78253,78486,80028,81458,82369,82896,83326,5073,6.48,4840,6.17
KING AND QUEEN COUNTY,King and Queen County,county,097,51097,6603,6585,6666,6712,6739,6726,6743,140,2.12,158,2.4
KING GEORGE COUNTY,King George County,county,099,51099,26720,26822,27556,27868,28447,28900,29646,2926,10.95,2824,10.53
KING WILLIAM COUNTY,King William County,county,101,51101,17810,17916,18248,18518,19048,19279,19617,1807,10.15,1701,9.49
LANCASTER COUNTY,Lancaster County,county,103,51103,10918,10899,10938,10835,10879,10971,10995,77,0.71,96,0.88
LEE COUNTY,Lee County,county,105,51105,22173,22110,22016,21853,21773,21777,21642,-531,-2.39,-468,-2.12
LEXINGTON CITY,Lexington city,city,678,51678,7309,7318,7447,7503,7530,7701,7769,460,6.29,451,6.16
LOUDOUN COUNTY,Loudoun County,county,107,51107,420951,422693,428857,432672,436786,443749,449749,28798,6.84,27056,6.4
LOUISA COUNTY,Louisa County,county,109,51109,37586,37785,39028,39989,41036,42176,42924,5338,14.2,5139,13.6
LUNENBURG COUNTY,Lunenburg County,county,111,51111,11937,11949,12006,12016,12058,12078,12058,121,1.01,109,0.91
LYNCHBURG CITY,Lynchburg city,city,680,51680,79014,78995,79177,79278,79769,80316,81347,2333,2.95,2352,2.98
MADISON COUNTY,Madison County,county,113,51113,13842,13862,13964,14003,14108,14224,14237,395,2.85,375,2.71
MANASSAS CITY,Manassas city,city,683,51683,42773,42690,42777,42734,43184,44038,44332,1559,3.64,1642,3.85
MANASSAS PARK CITY,Manassas Park city,city,685,51685,17217,17161,17092,16628,16316,16428,16560,-657,-3.82,-601,-3.5
MARTINSVILLE CITY,Martinsville city,city,690,51690,13482,13478,13536,13658,13726,13789,13849,367,2.72,371,2.75
MATHEWS COUNTY,Mathews County,county,115,51115,8535,8520,8549,8469,8558,8585,8529,-6,-0.07,9,0.11
MECKLENBURG COUNTY,Mecklenburg County,county,117,51117,30316,30285,30346,30494,30610,30809,30747,431,1.42,462,1.53
MIDDLESEX COUNTY,Middlesex County,county,119,51119,10619,10609,10780,10953,10925,10941,10841,222,2.09,232,2.19
MONTGOMERY COUNTY,Montgomery County,county,121,51121,99722,99593,98769,98746,98606,98357,98434,-1288,-1.29,-1159,-1.16
NELSON COUNTY,Nelson County,county,125,51125,14769,14737,14840,14687,14652,14817,14920,151,1.02,183,1.24
NEW KENT COUNTY,New Kent County,county,127,51127,22942,23118,23952,24972,26178,27196,28022,5080,22.14,4904,21.21
NEWPORT NEWS CITY,Newport News city,city,700,51700,186235,186030,184659,183976,183311,183401,183230,-3005,-1.61,-2800,-1.51
NORFOLK CITY,Norfolk city,city,710,51710,238090,237859,235091,232960,232862,231105,231013,-7077,-2.97,-6846,-2.88
NORTHAMPTON COUNTY,Northampton County,county,131,51131,12282,12217,12072,11969,12043,12021,11879,-403,-3.28,-338,-2.77
NORTHUMBERLAND COUNTY,Northumberland County,county,133,51133,11835,11838,12053,12262,12410,12412,12557,722,6.1,719,6.07
NORTON CITY,Norton city,city,720,51720,3696,3680,3633,3594,3515,3516,3477,-219,-5.93,-203,-5.52
NOTTOWAY COUNTY,Nottoway County,county,135,51135,15644,15642,15574,15558,15581,15690,15796,152,0.97,154,0.98
ORANGE COUNTY,Orange County,county,137,51137,36185,36396,37219,38015,38572,39193,40083,3898,10.77,3687,10.13
PAGE COUNTY,Page County,county,139,51139,23713,23695,23835,23744,23671,23687,23762,49,0.21,67,0.28
PATRICK COUNTY,Patrick County,county,141,51141,17601,17583,17647,17559,17468,17395,17424,-177,-1.01,-159,-0.9
PETERSBURG CITY,Petersburg city,city,730,51730,33464,33398,33444,33484,33316,34030,33734,270,0.81,336,1.01
PITTSYLVANIA COUNTY,Pittsylvania County,county,143,51143,60499,60369,60066,59862,59652,59505,59490,-1009,-1.67,-879,-1.46
POQUOSON CITY,Poquoson city,city,735,51735,12455,12472,12628,12617,12602,12863,13292,837,6.72,820,6.57
PORTSMOUTH CITY,Portsmouth city,city,740,51740,97944,97991,97833,97076,97030,96845,96777,-1167,-1.19,-1214,-1.24
POWHATAN COUNTY,Powhatan County,county,145,51145,30341,30453,31250,31592,32102,32362,32591,2250,7.42,2138,7.02
PRINCE EDWARD COUNTY,Prince Edward County,county,147,51147,21837,21879,21884,21848,22022,22319,22391,554,2.54,512,2.34
PRINCE GEORGE COUNTY,Prince George County,county,149,51149,43010,43076,42972,43086,43088,43742,43936,926,2.15,860,2.0
PRINCE WILLIAM COUNTY,Prince William County,county,153,51153,482205,482838,485482,487524,491396,498352,502966,20761,4.31,20128,4.17
PULASKI COUNTY,Pulaski County,county,155,51155,33797,33806,33825,33650,33611,33552,33586,-211,-0.62,-220,-0.65
RADFORD CITY,Radford city,city,750,51750,16066,16117,16487,16710,16969,17239,17243,1177,7.33,1126,6.99
RAPPAHANNOCK COUNTY,Rappahannock County,county,157,51157,7351,7322,7435,7444,7448,7443,7439,88,1.2,117,1.6
RICHMOND CITY,Richmond city,city,760,51760,226522,226927,227229,228936,230804,234807,237257,10735,4.74,10330,4.55
RICHMOND COUNTY,Richmond County,county,159,51159,8919,8919,9084,9096,9164,9220,9294,375,4.2,375,4.2
ROANOKE CITY,Roanoke city,city,770,51770,100017,99903,98767,97922,97741,98690,99111,-906,-0.91,-792,-0.79
ROANOKE COUNTY,Roanoke County,county,161,51161,96962,96958,96737,96878,97219,97373,97150,188,0.19,192,0.2
ROCKBRIDGE COUNTY,Rockbridge County,county,163,51163,22669,22668,22666,22600,22433,22457,22663,-6,-0.03,-5,-0.02
ROCKINGHAM COUNTY,Rockingham County,county,165,51165,83769,83780,84536,85494,86900,88319,89316,5547,6.62,5536,6.61
RUSSELL COUNTY,Russell County,county,167,51167,25787,25761,25585,25449,25501,25430,25332,-455,-1.76,-429,-1.67
SALEM CITY,Salem city,city,775,51775,25341,25398,25423,25682,25575,25737,25816,475,1.87,418,1.65
SCOTT COUNTY,Scott County,county,169,51169,21574,21595,21489,21506,21409,21388,21200,-374,-1.73,-395,-1.83
SHENANDOAH COUNTY,Shenandoah County,county,171,51171,44182,44258,44839,44892,45202,45468,45839,1657,3.75,1581,3.57
SMYTH COUNTY,Smyth County,county,173,51173,29794,29780,29610,29398,29166,29133,28882,-912,-3.06,-898,-3.02
SOUTHAMPTON COUNTY,Southampton County,county,175,51175,17995,17950,18029,17896,18050,18018,18110,115,0.64,160,0.89
SPOTSYLVANIA COUNTY,Spotsylvania County,county,177,51177,140097,140611,144048,146798,149837,152461,155388,15291,10.91,14777,10.51
STAFFORD COUNTY,Stafford County,county,179,51179,156937,157763,161625,163226,165794,168788,170803,13866,8.84,13040,8.27
STAUNTON CITY,Staunton city,city,790,51790,25750,25810,25707,25924,25855,26260,26801,1051,4.08,991,3.84
SUFFOLK CITY,Suffolk city,city,800,51800,94431,94818,96426,98626,100927,103007,104699,10268,10.87,9881,10.42
SURRY COUNTY,Surry County,county,181,51181,6555,6548,6532,6503,6591,6593,6603,48,0.73,55,0.84
SUSSEX COUNTY,Sussex County,county,183,51183,10839,10799,10830,10657,10801,10742,10755,-84,-0.77,-44,-0.41
TAZEWELL COUNTY,Tazewell County,county,185,51185,40438,40407,39963,39638,39272,38986,38635,-1803,-4.46,-1772,-4.39
VIRGINIA BEACH CITY,Virginia Beach city,city,810,51810,459417,459626,458644,454721,453402,453763,453737,-5680,-1.24,-5889,-1.28
WARREN COUNTY,Warren County,county,187,51187,40721,40796,40986,41424,41983,42484,42740,2019,4.96,1944,4.77
WASHINGTON COUNTY,Washington County,county,191,51191,53946,53910,53773,53863,53998,54114,53898,-48,-0.09,-12,-0.02
WAYNESBORO CITY,Waynesboro city,city,820,51820,22193,22280,22615,22748,23128,23575,23951,1758,7.92,1671,7.5
WESTMORELAND COUNTY,Westmoreland County,county,193,51193,18480,18513,18779,18712,18978,19338,19715,1235,6.68,1202,6.49
WILLIAMSBURG CITY,Williamsburg city,city,830,51830,15417,15459,15459,15703,16046,15944,15861,444,2.88,402,2.6
WINCHESTER CITY,Winchester city,city,840,51840,28114,28003,28088,27963,27864,28082,28272,158,0.56,269,0.96
WISE COUNTY,Wise County,county,195,51195,36126,36072,35700,35341,35194,35035,34824,-1302,-3.6,-1248,-3.46
WYTHE COUNTY,Wythe County,county,197,51197,28292,28324,28212,28149,28166,28046,27983,-309,-1.09,-341,-1.2
YORK COUNTY,York County,county,199,51199,70054,70236,71143,71206,71020,71338,71374,1320,1.88,1138,1.62
